TUB-025-200999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-220009	Sch 20	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-240004	Sch 20	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-240078	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-240099	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-240999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-026-030040	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-040045	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-060053	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-080044	Sch 80	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-080061	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-100055	Sch 80	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-100067	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-120012		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-120070	Sch 80	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-120078	Sch 60	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-140010	Sch 30	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-140084	Sch 80	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-140089	Sch 60	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-160009	Sch 30	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-160030	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-160047	Sch 10	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-160085	Sch 80	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-160090	Sch 60	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-160999		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180006		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180047	Sch 10	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180049		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180054	Sch 30	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180061	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180083	Sch 80	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180088	Sch 60	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-180999		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200005	Sch 20	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200047	Sch 10	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200049	Sch 30	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200057	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200074		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200088	Sch 80	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200093	Sch 60	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-200999		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-220014	Sch 30	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-240004	Sch 20	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-240040	Sch 40	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-240047	Sch 10	TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
TUB-026-240062		TUBO; AC; API 5L GR B PSL1; C/C; PC; B36.10
